word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
aggravates,0.7190000000000001,,,,,,,,,
aggravating,0.75,,,,,0.5,,,1.0,0.0
aggravation,0.672,,0.469,,,,,,1.0,0.0
aggression,0.7020000000000001,,,0.609,,,,,1.0,0.0
aggressive,0.667,,,0.703,,,,,1.0,0.0
aggressively,0.68,,,,,,,,,
aggressor,0.6559999999999999,,,0.812,,,,,1.0,0.0
agh,0.281,,,,,,,,,
aghast,,,0.625,0.6409999999999999,,,0.805,,1.0,0.0
aghhh,,,,0.43799999999999994,,,,,,
agitated,0.63,,,,,,,,1.0,0.0
agitation,0.68,,,,,,,,1.0,0.0
agonizing,,,,0.703,,,,,1.0,0.0
agony,0.465,,,0.75,,0.9,,,1.0,0.0
agoraphobia,,,,0.688,,,,,,
agreeable,,,,,,,,0.695,0.0,1.0
agreed,,,,,,,,0.648,0.0,1.0
agreeing,,,,,,,,0.68,0.0,1.0
agreement,,,,,,,,0.727,0.0,1.0
ahhh,,,,0.125,,,,,,
ahhhhhhhh,,,,0.312,,,,,,
ail,,,,,,0.469,,,1.0,0.0
ailing,,,,0.547,,0.6559999999999999,,,1.0,0.0
airport,,0.5,,,,,,,0.0,0.0
airs,,,0.195,,,,,,1.0,0.0
akin,,,,,,,,0.414,0.0,0.0
aksesoris,,,,,,,,0.32,,
aku,,,,,,,,0.242,,
alarm,,,,0.688,,,0.852,,1.0,0.0
alarming,,,,0.6559999999999999,,,0.773,,1.0,0.0
alas,,,,,,0.302,,,,
alb,,,,,,,,0.23399999999999999,0.0,0.0
alcoholism,0.33799999999999997,,0.562,0.5,,0.609,,,1.0,0.0
alertness,,0.648,,0.21600000000000003,,,0.5,,0.0,1.0
alerts,,0.609,,0.276,,,0.594,,0.0,0.0
alien,,,0.43799999999999994,0.42200000000000004,,,,,1.0,0.0
alienate,0.485,,0.45299999999999996,,,,,,1.0,0.0
alienated,,,,,,0.727,,,1.0,0.0
alienation,0.5760000000000001,,0.375,0.609,,0.685,,,1.0,0.0
alive,,0.461,,,0.531,,,0.5,0.0,1.0
allegation,0.531,,,,,,,,1.0,0.0
allegiance,,,,,,,,0.711,0.0,1.0
alliance,,,,,0.368,,,0.727,0.0,0.0
allied,,,,,,,,0.695,0.0,1.0
alligator,,,,0.727,,,,,0.0,0.0
allsmiles,,,,,0.828,,,,,
allure,,0.688,,,0.45299999999999996,,0.406,,0.0,1.0
ally,,,,,,,,0.75,0.0,1.0
almighty,,,,,0.516,,,,0.0,1.0
aloha,,0.43799999999999994,,,0.484,,,,0.0,1.0
alone,,,,,,0.6,,,,
alreadyyyyy,,,,0.14,,,,,,
altercation,0.7290000000000001,,,,,,,,1.0,0.0
amaze,,,,,,,0.742,,0.0,0.0
amazedness,,,,,,,0.7190000000000001,,,
amazement,,,,,,,0.7809999999999999,,0.0,0.0
amazingly,,,,,0.703,,0.648,,0.0,1.0
ambassador,,,,,,,,0.664,0.0,1.0
ambition,,0.617,,,0.578,,,0.586,0.0,1.0
ambulance,,,,0.484,,,,0.555,0.0,0.0
ambush,0.6609999999999999,,,0.688,,,0.883,,1.0,0.0
amen,,,,,0.424,,,0.516,0.0,1.0
amicable,,,,,0.469,,,,0.0,1.0
ammonia,,,0.42200000000000004,,,,,,0.0,0.0
amnesty,,,,,0.32799999999999996,,,,0.0,1.0
amortization,,,,,,,,0.414,0.0,0.0
amour,,0.555,,,0.607,,,0.508,0.0,1.0
amphetamines,,,0.39799999999999996,,,,,,1.0,0.0
amuse,,,,,0.7879999999999999,,,,0.0,1.0
amused,,,,,0.7659999999999999,,,,0.0,1.0
amusement,,,,,0.7190000000000001,,,,0.0,1.0
amusing,,,,,0.625,,,,0.0,1.0
anaconda,,,0.38299999999999995,0.75,,,,,1.0,0.0
analyst,,0.312,,,,,,0.531,0.0,1.0
anarchism,0.7140000000000001,,,0.688,,,,,1.0,0.0
anarchist,0.765,,,0.75,,,,,1.0,0.0
anarchy,0.636,,,0.75,,,,,1.0,0.0
anathema,0.485,,0.547,0.42200000000000004,,0.562,,,1.0,0.0
ancestral,,,,,,,,0.547,0.0,0.0
anchorage,,,,,,0.25,,,0.0,1.0
aneka,,,,,,,,0.35200000000000004,,
angel,,0.43799999999999994,,,0.594,,0.32,0.625,0.0,1.0
angelic,,,,,0.688,,,0.586,0.0,1.0
anger,0.8109999999999999,,,,,,,,1.0,0.0
angered,0.9159999999999999,,,,,,,,,
angermanagement,0.469,,,,,,,,,
angina,,,,0.578,,,,,1.0,0.0
angling,,0.578,,,,,,,1.0,0.0
angriest,0.8640000000000001,,,,,,,,,
angry,0.8240000000000001,,0.469,,,,,,1.0,0.0
angrytweet,0.812,,,,,,,,,
angst,,,,,,0.598,,,,
anguish,0.5,,,0.703,,0.902,,,1.0,0.0
animated,,,,,0.515,,,,0.0,1.0
animosity,0.652,,0.484,0.469,,0.43799999999999994,,,1.0,0.0
animus,0.5,,,,,,,,1.0,0.0
annihilate,0.898,,,0.953,,,,,1.0,0.0
annihilated,0.865,,,0.8590000000000001,,0.828,,,1.0,0.0
annihilation,0.912,,,0.875,,0.828,,,1.0,0.0
announcement,,0.7340000000000001,,,,,,,0.0,0.0
annoy,0.52,,0.336,,,,,,1.0,0.0
annoyance,0.42200000000000004,,0.32,,,,,,1.0,0.0
annoyed,0.485,,,,,,,,,
annoyin,0.545,,,,,,,,,
annoying,0.47,,,,,,,,1.0,0.0
annoys,0.4,,,,,,,,,
annulment,,,,,,0.44,,,1.0,0.0
anomaly,,,,0.359,,,0.633,,1.0,0.0
answerable,,,,,,,,0.531,0.0,0.0
antagonism,0.609,,,,,,,,1.0,0.0
antagonist,0.545,,,,,,,,1.0,0.0
antagonistic,0.606,,0.47700000000000004,,,,,,1.0,0.0
anthrax,,,0.7659999999999999,0.8590000000000001,,0.6,,,1.0,0.0
antichrist,0.6559999999999999,,0.68,0.6409999999999999,,,,,1.0,0.0
anticipate,,0.82,,,,,,,,
anticipation,,0.8590000000000001,,,,,,,0.0,0.0
anticipatory,,0.75,,,,,,,0.0,0.0
antidote,,0.391,,,,,,0.539,0.0,1.0
antifungal,,,,,,,,0.266,0.0,1.0
antipathy,0.406,,0.45299999999999996,,,,,,1.0,0.0
antiseptic,,,,,,,,0.42200000000000004,0.0,1.0
antisocial,0.344,,0.391,0.324,,0.531,,,1.0,0.0
antithesis,0.5,,,,,,,,1.0,0.0
antsy,,,,0.375,,,,,,
anxiety,0.344,0.609,,0.594,,0.5,,,1.0,0.0
anxietyattack,,,,0.797,,,,,,
anxious,,0.6409999999999999,,0.518,,,,,1.0,0.0
apache,,,,0.281,,,,,1.0,0.0
apathetic,,,,,,0.43799999999999994,,,1.0,0.0
apathy,,,,,,0.281,,,1.0,0.0
aphid,,,0.45299999999999996,,,,,,1.0,0.0
apocalypse,,,,0.8440000000000001,,,,,,
apologetic,,,,,,,,0.5,0.0,1.0
apologize,,,,,,0.37,,0.47700000000000004,0.0,1.0
apostle,,,,,,,,0.57,0.0,1.0
apostolic,,,,,,,,0.562,0.0,0.0
appalling,,,0.586,0.562,,,,,1.0,0.0
apparition,,,,0.547,,,0.633,,0.0,0.0
appeal,,0.531,,,,,,,0.0,0.0
appendicitis,,,,0.547,,0.43799999999999994,,,1.0,0.0
applaud,,,,,,,,0.562,,
applause,,,,,0.621,,0.406,0.539,0.0,1.0
applicant,,0.602,,,,,,,0.0,0.0
appreciated,,,,,0.682,,,,,
appreciates,,,,,0.703,,,,,
appreciation,,,,,0.6559999999999999,,,0.617,0.0,1.0
apprehend,,,,0.562,,,,,0.0,0.0
apprehension,,,,0.45299999999999996,,,,,1.0,0.0
apprehensive,,0.547,,0.578,,,,,1.0,0.0
apprentice,,,,,,,,0.42200000000000004,0.0,0.0
approaching,,0.688,,,,,,,0.0,0.0
approbate,,,,,,,,0.484,,
approbation,,,,,,,,0.527,0.0,1.0
approval,,,,,,,,0.758,0.0,1.0
approve,,,,,0.45299999999999996,,,0.68,0.0,1.0
approved,,,,,0.486,,,0.633,,
approvement,,,,,,,,0.617,,
approving,,,,,,,,0.695,0.0,1.0
aquapix,,,,,,,,0.305,,
arbiter,,,,,,,,0.484,0.0,0.0
arbitration,,0.47700000000000004,,,,,,,0.0,0.0
arbitrator,,,,,,,,0.43799999999999994,0.0,0.0
archaeology,,0.344,,,,,,,0.0,1.0
architecture,,,,,,,,0.539,0.0,0.0
ardent,,0.5,,,0.25,,,,0.0,1.0
areyoukidding,0.46799999999999997,,,,,,,,,
areyoukiddingme,0.409,,,,,,,,,
argh,0.391,,,,,,,,,
arghh,0.562,,,,,,,,,
arghhhh,0.547,,,,,,,,,
argue,0.7340000000000001,,,,,,,,1.0,0.0
argument,0.545,,,,,,,,1.0,0.0
argumentation,0.515,,,,,,,,0.0,0.0
arguments,0.40399999999999997,,,,,,,,0.0,0.0
arid,,,,,,0.203,,,1.0,0.0
armament,0.47,,,0.6559999999999999,,,,,0.0,0.0
armaments,,,,0.636,,,,,1.0,0.0
armed,0.7,,,0.703,,,,,1.0,1.0
armor,,,,0.484,,,,0.484,0.0,1.0
armored,,,,0.469,,,,,0.0,0.0
armory,,,,,,,,0.391,0.0,0.0
aromatherapy,,,,,0.409,,,,,
arouse,,0.742,,,,,,,0.0,1.0
arraignment,0.203,,,0.45,,0.359,,,1.0,0.0
arrival,,0.695,,,,,,,0.0,0.0
arrive,,0.594,,,,,,,0.0,0.0
arrogant,0.461,,0.469,,,,,,1.0,0.0
arsehole,0.624,,,,,,,,,
arseholes,0.7190000000000001,,,,,,,,,
arsenic,,,0.555,0.703,,0.484,,,1.0,0.0
arson,0.6409999999999999,,,0.794,,,,,1.0,0.0
art,,0.391,,,0.23399999999999999,0.0,0.172,,0.0,1.0
artillery,,,,0.625,,,,,1.0,0.0
artwork,,,,,0.265,,,,,
asap,,,,0.191,,,,,,
ashamed,,,0.43799999999999994,,,0.7190000000000001,,,1.0,0.0
ashes,,,,,,0.377,,,1.0,0.0
asleeep,0.059000000000000004,,,,,,,,,
asp,,,,0.43799999999999994,,,,,0.0,0.0
aspiration,,0.648,,,0.485,,0.391,0.633,0.0,1.0
aspire,,0.7190000000000001,,,0.516,,,0.49200000000000005,0.0,1.0
aspiring,,0.6559999999999999,,,0.618,,,0.539,0.0,1.0
assail,0.594,,,0.578,,,0.602,,1.0,0.0
assailant,0.691,,,0.703,,0.536,,,1.0,0.0
assassin,0.703,,,0.875,,0.7340000000000001,,,1.0,0.0
assassinate,0.912,,,0.9059999999999999,,,,,1.0,0.0
assassination,0.8590000000000001,,,0.828,,0.797,,,1.0,0.0
assault,0.8590000000000001,,,0.8909999999999999,,,,,1.0,0.0
assembly,,,,,,,,0.484,0.0,1.0
asserting,,,,,,,,0.445,0.0,1.0
assessment,,,,0.172,,,0.23399999999999999,0.594,0.0,0.0
assessor,,,,,,,,0.375,0.0,0.0
asshole,0.606,,0.836,,,,,,1.0,0.0
assignee,,,,,,,,0.42200000000000004,0.0,0.0
assist,,,,,,,,0.648,0.0,1.0
associate,,,,,,,,0.469,0.0,1.0
association,,,,,,,,0.516,0.0,0.0
assurance,,0.391,,,,,,0.703,0.0,1.0
assure,,,,,,,,0.6409999999999999,0.0,0.0
assured,,,,,,,,0.625,0.0,1.0
assuredly,,,,,,,,0.648,0.0,0.0
asteroid,,,,0.469,,,,,,
astonish,,,,,,,0.805,,,
astonishingly,,,,,,,0.852,,0.0,1.0
astonishment,,,,,0.547,,0.805,,0.0,1.0
astound,,,,,,,0.82,,,
astray,,,,0.32,,,,,1.0,0.0
astrologer,,0.414,,,,,,,0.0,1.0
astronomer,,0.281,,,,,,,0.0,1.0
asylum,,,,0.547,,,,,1.0,0.0
asymmetry,,,0.133,,,,,,0.0,0.0
atherosclerosis,,,,0.531,,0.5,,,1.0,0.0
athlete,,,,,,,,0.414,0.0,1.0
atone,,0.359,,,0.19699999999999998,,,0.43799999999999994,0.0,1.0
atpeace,,,,,0.727,,,,,
atrocious,0.706,,0.617,,,,,,1.0,0.0
atrocity,0.8140000000000001,,0.7340000000000001,0.672,,0.8590000000000001,,,1.0,0.0
atrophy,,,0.555,0.43799999999999994,,0.7190000000000001,,,1.0,0.0
attack,0.853,,,0.797,,,,,1.0,0.0
attacking,0.865,,0.547,0.8590000000000001,,0.531,0.648,,1.0,0.0
attainable,,0.578,,,,,,,0.0,1.0
attempt,,0.562,,,,,,,0.0,0.0
attendance,,0.5,,,,,,,0.0,0.0
attendant,,,,,,,,0.461,0.0,1.0
attentionseeker,0.25,,,,,,,,,
attentionseekers,0.163,,,,,,,,,
attentive,,,,,,,,0.617,0.0,1.0
attenuation,,,,,,0.344,,,1.0,0.0
attest,,,,,,,,0.586,0.0,1.0
attestation,,,,,,,,0.664,0.0,0.0
attorney,0.152,,,0.188,,,,0.35200000000000004,0.0,1.0
attraction,,,,,,,,0.49200000000000005,0.0,1.0
auction,,0.539,,,,,,,0.0,0.0
audience,,0.35700000000000004,,,,,,,0.0,0.0
audition,,,,0.156,,,,,0.0,0.0
auditions,,,,0.266,,,,,,
auditor,,,,0.297,,,,0.555,0.0,0.0
aunt,,,,,,,,0.461,0.0,1.0
aura,,,,,0.493,,,,0.0,1.0
auspices,,0.586,,,,,,,0.0,0.0
auspicious,,0.484,,,0.391,,,,0.0,1.0
austere,,,,0.47,,0.359,,,1.0,0.0
authentic,,,,,0.364,,,0.75,0.0,1.0
authenticate,,,,,,,,0.7190000000000001,0.0,0.0
authentication,,,,,,,,0.7659999999999999,0.0,0.0
authenticity,,,,,,,,0.688,0.0,1.0
author,,,,,,,,0.469,0.0,1.0
authoritative,,,,,,,,0.578,0.0,1.0
authority,,,,,,,,0.664,0.0,1.0
authorization,,,,,,,,0.625,0.0,1.0
authorize,,,,,,,,0.633,0.0,0.0
autism,,,,,,,,0.273,,
autocorrect,0.015,,,,,,,,,
automatic,,,,,,,,0.508,0.0,0.0
autopsy,,,0.7190000000000001,0.557,,0.562,,,1.0,0.0
autumn,,,,,0.254,,,,0.0,0.0
avalanche,,,,0.703,,0.45299999999999996,0.711,,1.0,0.0
avarice,0.49,,0.523,,,,,,1.0,0.0
avenger,0.485,,,,,,,,1.0,0.0
aversation,,,0.484,,,,,,,
averse,0.33799999999999997,,0.39799999999999996,0.483,,,,,1.0,0.0
averseness,,,0.391,,,,,,,
aversion,0.44,,0.43799999999999994,0.28300000000000003,,,,,1.0,0.0
avoid,,,0.188,0.297,,,,,1.0,0.0
avoidance,,,,0.344,,,,,1.0,0.0
avoiding,,,,0.391,,,,,0.0,0.0
await,,0.633,,,,,,,0.0,0.0
award,,0.6409999999999999,,,0.727,,0.35200000000000004,0.523,0.0,1.0
awards,,,,,0.609,,,,,
awareness,,,,,,,,0.609,,
awe,,,,,,,0.7190000000000001,,0.0,0.0
awesomeness,,,,,0.9259999999999999,,,,,
awestruck,,,,,,,0.797,,,
awful,0.409,,0.562,0.672,,0.6409999999999999,,,1.0,0.0
awkwardness,,,0.203,,,,,,1.0,0.0
axiom,,,,,,,,0.42200000000000004,0.0,0.0
axiomatic,,,,,,,,0.35200000000000004,0.0,0.0
baboon,,,0.25,,,,,,1.0,0.0
baby,,,,,0.5,,,,0.0,1.0
babysitter,,,,,,,,0.609,0.0,0.0
backbone,0.203,,,,,,,0.633,0.0,1.0
backer,,,,,,,,0.5,0.0,0.0
backoff,0.469,,,,,,,,,
backtrack,,,,0.151,,,,,0.0,0.0
backwardness,,,0.23399999999999999,,,,,,,
backwards,,,0.297,,,,,,1.0,0.0
backwater,,,,,,0.255,,,1.0,0.0
bacteria,,,0.6559999999999999,0.578,,0.32799999999999996,,,1.0,0.0
bacterium,,,0.727,0.531,,,,,1.0,0.0
bad,0.45299999999999996,,0.391,0.375,,0.42200000000000004,,,1.0,0.0
badday,,,,,,0.439,,,,
badfeeling,,,,0.516,,,,,,
badge,,,,,,,,0.5,0.0,0.0
badger,0.406,,,,,,,,1.0,0.0
badhabit,,,,0.242,,,,,,
badly,,,,,,0.455,,,1.0,0.0
badness,0.536,,0.42200000000000004,0.539,,,,,1.0,0.0
baggage,,,,,,,,0.391,0.0,0.0
bailiff,,,,0.147,,,,0.36700000000000005,1.0,0.0
bait,,,,0.21899999999999997,,,,0.133,1.0,0.0
balance,,,,,0.275,,,,0.0,1.0
bale,,,,0.297,,,,,1.0,0.0
ballot,,0.539,,,,,,0.531,0.0,1.0
balm,,0.39799999999999996,,,0.152,,,,1.0,1.0
bane,0.511,,0.45299999999999996,0.35600000000000004,,,,,1.0,0.0
bang,0.42200000000000004,,0.305,0.652,,0.25,0.836,,1.0,0.0
banger,0.424,0.38299999999999995,,0.266,,,0.531,,1.0,0.0
banish,0.509,,0.5,0.688,,0.6970000000000001,,,1.0,0.0
banished,0.5,,,0.562,,0.688,,,1.0,0.0
banishment,0.42200000000000004,,0.469,,,0.79,,,1.0,0.0
bank,,,,,,,,0.461,0.0,0.0
banker,,,,,,,,0.35200000000000004,0.0,0.0
bankrupt,,,,0.375,,0.609,,,1.0,0.0
bankruptcy,0.221,,0.445,0.359,,0.5,,,1.0,0.0
banquet,,0.406,,,0.303,,,,0.0,1.0
banshee,0.561,,0.469,0.6409999999999999,,0.391,,,1.0,0.0
baptismal,,,,,0.368,,,,0.0,1.0
barb,0.42200000000000004,,,,,,,,1.0,0.0
barbarian,,,,0.62,,,,,1.0,0.0
barbaric,0.812,,0.7190000000000001,0.8590000000000001,,,,,1.0,0.0
barf,,,0.875,,,,,,0.0,0.0
bargain,,,,,,,,0.36700000000000005,0.0,1.0
bargaining,0.16699999999999998,,,,,,,,,
barge,0.396,,,,,,,,0.0,0.0
bark,0.365,,,,,,,,1.0,0.0
barks,0.364,,,,,,,,,
barren,,,,,,0.67,,,1.0,0.0
barricade,,,,0.375,,,,,1.0,0.0
barrier,0.287,,,,,,,,1.0,0.0
barrow,,,0.258,,,,,,0.0,0.0
bartender,,,,,,,,0.38299999999999995,0.0,0.0
barter,,,,,,,,0.39799999999999996,0.0,0.0
base,,,,,,,,0.43,0.0,0.0
bases,,,,0.156,,,,,,
basketball,,0.45299999999999996,,,0.062,,,,0.0,1.0
bastard,,,0.57,,,0.366,,,1.0,0.0
bastarding,0.7190000000000001,,,,,,,,,
bastards,0.741,,,,,,,,,
bastion,0.413,,,,,,,,0.0,1.0
bath,,,,,0.182,,,,0.0,1.0
bathtub,,,,,0.156,,,,,
battalion,0.47100000000000003,,,,,,,,0.0,0.0
batter,0.636,,,0.45299999999999996,,,,,1.0,0.0
battered,,,,0.667,,0.7340000000000001,,,1.0,0.0
battery,0.609,,,,,,,,1.0,0.0
battle,0.6970000000000001,,,,,,,,1.0,0.0
battled,0.7120000000000001,,,0.615,,0.5,,,1.0,0.0
battlefield,,,,0.6559999999999999,,,,,1.0,0.0
battles,,,,,,,,0.21100000000000002,,
bawl,,,,,,0.594,,,,
bayonet,0.45299999999999996,,,0.42200000000000004,,,,,1.0,0.0
bbw,,,,,,,,0.266,,
bday,,,,,0.672,,,,,
beach,,,,,0.5,,,,0.0,0.0
beaches,,,,,0.375,,,,,
beam,,,,,0.456,,,,0.0,1.0
beaming,,0.523,,,0.938,,,,0.0,1.0
bear,0.266,,,0.524,,,,,0.0,0.0
bearish,0.562,,,0.344,,,,,0.0,0.0
beast,0.562,,,0.7340000000000001,,,,,1.0,0.0
beastly,,,0.555,0.688,,,,,1.0,0.0
beating,0.8490000000000001,,,0.609,,0.652,,,1.0,0.0
beautification,,,,,0.703,,,0.508,0.0,1.0
beautiful,,,,,0.7809999999999999,,,,0.0,1.0
beautify,,,,,0.601,,,,0.0,1.0
beauty,,,,,0.621,,,,0.0,1.0
bedrock,,,,,,,,0.617,0.0,1.0
bee,0.152,,,0.23399999999999999,,,,,0.0,0.0
beer,,,,,0.141,,,,0.0,1.0
befriend,,,,,0.455,,,0.594,0.0,1.0
beg,,,,,,0.484,,,1.0,0.0
beggar,,,,,,0.42200000000000004,,,1.0,0.0
beginnings,,,,,0.42200000000000004,,,,,
begun,,0.516,,,,,,,0.0,0.0
behappy,,,,,0.7340000000000001,,,,,
behel,,,,,,,,0.32,,
behemoth,,,,0.439,,,,,1.0,0.0
beliebers,,,,,,,,0.22699999999999998,,
beliefs,,,,,,,,0.625,,
believed,,,,,,,,0.688,0.0,0.0
believer,,,,,,,,0.617,0.0,0.0
believes,,,,,,,,0.672,,
believing,,,,,,,,0.727,0.0,1.0
belittle,0.531,,0.508,0.344,,0.672,,,1.0,0.0
belligerent,0.841,,,0.594,,,,,1.0,0.0
bellows,0.562,,,,,,,,0.0,0.0
belt,0.364,,,0.266,,,,,1.0,0.0
benedictory,,,,,,,,0.523,,
benefactor,,,,,,,,0.6409999999999999,0.0,1.0
benevolence,,,,,0.469,,,0.672,0.0,1.0
benign,,,,,0.07400000000000001,,,,0.0,1.0
bequest,,,,,,,,0.43,0.0,0.0
bereaved,,,,,,0.92,,,1.0,0.0
bereavement,,,,,,0.922,,,1.0,0.0
berminat,,,,,,,,0.375,,
berserk,0.812,,,,,,,,1.0,0.0
bestdayever,,,,,0.938,,,,,
bestfeeling,,,,,0.7120000000000001,,,,,
bestfriends,,,,,0.682,,,,,
bestial,,,0.68,0.639,,,,,1.0,0.0
besties,,,,,0.6559999999999999,,,,,
